,Number,Date,Primary Target,Target Attacked,Comments,Month,Day
149,197,1944-09-21,"Target: Railroad Marshalling YardsType: TransportationLocation: Mainz, Germany",Primary,Mainz Railroad Targets BombedNo Aircraft Lost,9,21
150,198,1944-09-25,"Target: Railroad Marshalling YardsType: TransportationLocation: Frankfurt am Main, Germany",Primary,Primary Target Attacked By PFFPilot/Aircraft losses:Plowman / 42‑107057 ⇗,9,25
151,199,1944-09-26,"Target: SteelworksType: IndustryLocation: Osnabrück, Germany",Primary,Primary Target AttackedNo Aircraft Lost,9,26
152,200,1944-09-27,"Target: Railroad Marshalling Yards (PFF Aiming Points)Type: TransportationLocation: Cologne / Köln, Germany",Primary,Marshalling Yards Bombed By PFFNo Aircraft Lost,9,27
153,201,1944-09-28,"Target: SteelworksType: IndustryLocation: Magdeburg, Germany",Primary,Two Bomb Runs - Primary Target AttackedPilot/Aircraft losses:Brodie / 42‑31222 ⇗Buslee / 43‑37822 ⇗,9,28
154,202,1944-09-30,"Target: Handorf AirfieldType: German Air Force (Luftwaffe)Location: Münster, Germany",Secondary,Münster BombedNo Aircraft Lost,9,30
155,203,1944-10-02,"Target: Ford Motor WorksType: IndustryLocation: Cologne / Köln, Germany",Secondary,Cologne BombedNo Aircraft Lost,10,2
156,204,1944-10-03,"Target: Synthetic Oil RefineryType: Oil IndustryLocation: Wesseling, Germany",Primary,Synthetic Oil BombedNo Aircraft Lost,10,3
157,205,1944-10-05,"Type: IndustryLocation: Cologne / Köln, Germany",Secondary,Cologne / Köln BombedPilot/Aircraft losses:Birckhead / 43‑38579 ⇗,10,5
158,206,1944-10-06,"Target: M/T FactoryType: IndustryLocation: Stettin / Szczecin, Poland",Secondary,Primary Targets Not AttackedNo Aircraft Lost,10,6
159,207,1944-10-07,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Leipzig, Germany",Primary,Synthetic Oil Production TargetedPilot/Aircraft losses:Mandelbaum / 44‑6294 ⇗,10,7
160,208,1944-10-09,"Target: Ball-Bearing PlantType: Bearings IndustryLocation: Schweinfurt, Germany",Primary,Schweinfurt AttackedNo Aircraft Lost,10,9
161,209,1944-10-11,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Wesseling, Germany",Primary,Two Targets AttackedPilot/Aircraft losses:Levine / 44‑6149 ⇗Peterson / 42‑97948 ⇗,10,11
162,210,1944-10-14,"Target: Railroad Marshalling YardsType: TransportationLocation: Saarbrücken, Germany",Primary,Target: TransportationNo Aircraft Lost,10,14
163,211,1944-10-15,"Target: Railroad Marshalling YardsType: TransportationLocation: Cologne / Köln, Germany",Primary,Railroad Hubs DamagedNo Aircraft Lost,10,15
164,212,1944-10-17,"Target: Railroad Marshalling YardsType: TransportationLocation: Cologne / Köln, Germany",Primary,One Marshalling Yard BombedNo Aircraft Lost,10,17
165,213,1944-10-18,"Target: Ford Motor WorksType: IndustryLocation: Cologne / Köln, Germany",Secondary,Weather Challenges CrewsNo Aircraft Lost,10,18
166,214,1944-10-19,"Target: Heinrich Lanz Tank FactoryType: IndustryLocation: Mannheim, Germany",Primary,Tank Factory AttackedNo Aircraft Lost,10,19
167,215,1944-10-25,"Target: Nordstern Synthetic Oil PlantType: Oil IndustryLocation: Gelsenkirchen, Germany",Secondary,Primary & Secondary AttackedNo Aircraft Lost,10,25
168,216,1944-10-30,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Gelsenkirchen, Germany",Secondary,Primary Spared - Secondary BombedNo Aircraft Lost,10,30
169,217,1944-11-01,"Target: Nordstern Synthetic Oil PlantType: Oil IndustryLocation: Gelsenkirchen, Germany",Primary,Two Squadrons Hit PrimaryNo Aircraft Lost,11,1
170,218,1944-11-02,"Target: Ruhr-Chemie A.G. Synthetic Oil PlantType: Oil IndustryLocation: Sterkrade (Holten), Germany",Primary,Two Targets AttackedNo Aircraft Lost,11,2
171,219,1944-11-04,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Bottrop (Welheim), Germany",Primary,Two Targets AttackedNo Aircraft Lost,11,4
172,220,1944-11-05,"Target: Railroad Marshalling YardsType: TransportationLocation: Frankfurt am Main, Germany",Primary,Marshalling Yards BombedNo Aircraft Lost,11,5
173,221,1944-11-06,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Bottrop (Welheim), Germany",Primary,Attack on OilNo Aircraft Lost,11,6
174,222,1944-11-08,"Target: Leuna Synthetic Oil Plant (visual aim point)Type: Oil IndustryLocation: Merseburg, Germany",Secondary,Another Attack on OilPilot/Aircraft losses:Drake / 42‑97282 ⇗,11,8
175,223,1944-11-09,"Target: Ground InstallationsType: MilitaryLocation: Ouvrages de Sorbey (Metz), France",Primary,Tactical Support MissionNo Aircraft Lost,11,9
176,224,1944-11-10,"Target: Ostheim Airfield & Butzweilerhof AirfieldType: German Air Force (Luftwaffe)Location: Cologne / Köln, Germany",Primary,Primary Targets BombedNo Aircraft Lost,11,10
177,225,1944-11-11,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Gelsenkirchen, Germany",Primary,Synthetic Oil Plant BombedNo Aircraft Lost,11,11
178,226,1944-11-16,"Target: Tactical - Artillery PositionsType: MilitaryLocation: Eschweiler, Germany",Primary,Enemy Troop Positions BombedPilot/Aircraft losses:Springsted / 44‑6512 ⇗,11,16
179,227,1944-11-20,"Target: Buer Synthetic Oil PlantType: Oil IndustryLocation: Gelsenkirchen, Germany",Secondary,Marshalling Yards BombedNo Aircraft Lost,11,20
180,228,1944-11-23,"Target: Nordstern Coking Plant at Gelsenkirchener Bergwerks-A.G.Type: Oil IndustryLocation: Gelsenkirchen, Germany",Primary,Primary Attacked Using Gee-HNo Aircraft Lost,11,23
181,229,1944-11-25,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Lützkendorf, Germany",Secondary,Bad Day for German OilNo Aircraft Lost,11,25
182,230,1944-11-26,"Target: Railroad ViaductType: TransportationLocation: Altenbeken, Germany",Primary,Bombing by Gee-HNo Aircraft Lost,11,26
183,231,1944-11-27,"Target: Railroad Marshalling YardsType: TransportationLocation: Offenburg, Germany",Primary,Weather CooperatesNo Aircraft Lost,11,27
184,232,1944-11-29,"Target: Oil RefineryType: Oil IndustryLocation: Misburg, Germany",Secondary,Refinery BombedNo Aircraft Lost,11,29
185,233,1944-11-30,"Target: Synthetic Oil RefineryType: Oil IndustryLocation: Zeitz, Germany",Other,Traffic and WeatherPilot/Aircraft losses:Champ / 44‑8409 ⇗Evans / 43‑37713 ⇗Fleshman / 44‑6141 ⇗Gabel / 43‑38542 ⇗,11,30
186,234,1944-12-02,"Target: Railroad Marshalling YardsType: TransportationLocation: Oberlahnstein, Germany",Primary,Transportation TargetedNo Aircraft Lost,12,2
187,235,1944-12-04,"Target: Railroad Marshalling YardsType: TransportationLocation: Soest, Germany",Primary,Transportation AttackedNo Aircraft Lost,12,4
188,236,1944-12-06,"Target: Leuna Synthetic Oil PlantType: Oil IndustryLocation: Merseburg, Germany",Primary,More Pressure On OilNo Aircraft Lost,12,6
189,237,1944-12-09,"Target: Airfield and Daimler FactoryType: Aircraft IndustryLocation: Böblingen (Stuttgart area), Germany",Primary,Daimler Factory AttackedNo Aircraft Lost,12,9
190,238,1944-12-11,"Target: Road & Rail BridgeType: TransportationLocation: Mannheim, Germany",Primary,Rhine Bridge(s) TargetedNo Aircraft Lost,12,11
191,239,1944-12-12,"Target: Leuna Synthetic Oil PlantType: Oil IndustryLocation: Merseburg, Germany",Primary,Continued Pressure on OilPilot/Aircraft losses:Hale / 42‑102933 ⇗,12,12
192,240,1944-12-18,"Target: Road JunctionType: TransportationLocation: Gemünd, Germany",Secondary,Weather Challenges The PlanNo Aircraft Lost,12,18
193,241,1944-12-19,"Target: Railway JunctionType: TransportationLocation: Glaadt, Germany",Primary,Weather Reduces ForceNo Aircraft Lost,12,19
194,242,1944-12-23,"Target: Railroad Marshalling YardsType: TransportationLocation: Ehrang, Germany",Primary,Primary Target AttackedNo Aircraft Lost,12,23
195,243,1944-12-24,"Target: AirfieldType: German Air Force (Luftwaffe)Location: Kirch G&oumlns, Germany",Primary,Various Targets AttackedNo Aircraft Lost,12,24
196,244,1944-12-27,"Target: Bridge (Tactical)Type: TransportationLocation: Altenahr, Germany",Primary,Tactical Support For TroopsPilot/Aircraft losses:Nelson / 42‑107083 ⇗,12,27
197,245,1944-12-28,"Target: Railroad Marshalling YardsType: TransportationLocation: Brühl, Germany",Primary,Group Bombs RailroadNo Aircraft Lost,12,28
198,246,1944-12-30,"Target: Railroad Marshalling YardsType: TransportationLocation: Limburg, Germany",Secondary,Historic Limburg SparedNo Aircraft Lost,12,30
199,247,1944-12-31,"Target: Railroad Marshalling YardsType: TransportationLocation: Neuss, Germany",Primary,Railroad Target AttackedNo Aircraft Lost,12,31
